authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"A. J. Finn","","","The Woman in the Window_A Novel","","","1.0"
"Zina Abbott","Sweethearts of Jubilee Springs","16","Evasive Eddie Joe","","Sweethearts of Jubilee Springs","16.0"
"Zina Abbott","Sweethearts of Jubilee Springs","12","Dead Set Delphinia","","Sweethearts of Jubilee Springs","12.0"
"Zina Abbott","Sweethearts of Jubilee Springs","8","Bargain Bessie","","Sweethearts of Jubilee Springs","8.0"
"Zina Abbott","Sweethearts of Jubilee Springs","6","Cat's Meow","","Sweethearts of Jubilee Springs","6.0"
"Zina Abbott","Sweethearts of Jubilee Springs","3","Aaron’s Annulment Bride","","Sweethearts of Jubilee Springs","3.0"
"Zina Abbott & Lockets & Lace & Sweet Americana","Lockets and Lace","","The Bavarian Jeweler","","Lockets and Lace","1.0"
"Zina Abbott","Grandma's Wedding Quilts","2","Kizzie's Kisses","","Grandma's Wedding Quilts","2.0"
"Zenina Masters","Shifting Crossroads","45","Scarlet's Dilemma","","Shifting Crossroads","45.0"
"Zane Grey","","","Panguitch","","","1.0"
"W. F. Morris","","","Pagan","","","1.0"
"Virginia Vaughan","","","Mission_Memory Recall","","","1.0"
"Viola Grace","Tales of the Citadel","60","Cracked Control","","Tales of the Citadel","60.0"
"Victoria J. Coe","","","Fenway and Hattie Up to New Tricks","","","1.0"
"Vered Ehsani","","","Death in a Teacup","","","1.0"
"Virginia McCullough","","","Something to Treasure","","","1.0"
"Valerie Fraser Luesse","","","Missing Isaac","","","1.0"
"Tyrell Johnson","","","The Wolves of Winter","","","1.0"
"Tricia Goyer","","","A Daring Escape","","","1.0"
"Tyler Anne Snell","","","Forgotten Pieces","","","1.0"
"Tracie Peterson","","","Out of the Ashes","","","1.0"
"Tony White","","","Foxy_T","","","1.0"
"Tony White","","","The Fountain in the Forest","","","1.0"
"Toni Aleo","","","Two Man Advantage","","","1.0"
"Toni Aleo","","","Taking Risk Series","","","1.0"
"Toni Aleo","Spring Grove","1","Not the One","","Spring Grove","1.0"
"Tina Radcliffe","","","Claiming Her Cowboy","","","1.0"
"Thomas Perry","","","The Bomb Maker","","","1.0"
"Theresa Parker","An Andromeda Spencer Novel","1","Lightning Strikes","","An Andromeda Spencer Novel","1.0"
"Therese Beharrie","","","United by Their Royal Baby","","","1.0"
"T. L. Haddix","Firefly Hollow","1","Letters from Owen","","Firefly Hollow","1.0"
"Tara Sim","","","Chainbreaker","","","1.0"
"T. L. Haddix","","","Burning Springs","","","1.0"
"T. L. Haddix","","","Murky Pond","","","1.0"
"T. L. Haddix","","","Kathy","","","1.0"
"Synithia Williams","","","Overtime for Love","","","1.0"
"Susan May Warren","","","Troubled Waters","","","1.0"
"Susanne Dietze","","","A Mother For His Family","","","1.0"
"Stuart Woods","","","Unbound","","","1.0"
"Suleikha Snyder","","","Seared","","","1.0"
"Stella Bagwell","","","The Arizona Lawman","","","1.0"
"Shawn Bartek","","","When the Light Goes Out","","","1.0"
"Sever Bronny","Fury of a Rising Dragon","1","Burden's Edge","","Fury of a Rising Dragon","1.0"
"Scarlett Cole","","","Nikan Rebuilt","A steamy, emotional rockstar romance","","1.0"
"Sasha Summers","","","Cowboy Lullaby","","","1.0"
"Sarah Fine","","","The True Queen","","","1.0"
"Shane Peacock","","","Monster","","","1.0"
"Sarah Castille","Ruin & Revenge","","Rocco","A Mafia Romance","Ruin & Revenge","1.0"
"Sara Sue Hoklotubbe","Sadie Walela Mystery","","Sinking Suspicions","","Sadie Walela Mystery","1.0"
"Sara Sue Hoklotubbe","","","Deception on All Accounts","","","1.0"
"Sara Holland","","","Everless","","","1.0"
"Sara Blaedel","","","The Running Girl","","","1.0"
"Sara Blaedel","","","The Stolen Angel","","","1.0"
"Sara Sue Hoklotubbe","Sadie Walela Mystery","","Betrayal at the Buffalo Ranch","","Sadie Walela Mystery","1.0"
"Sam Graham-Felsen","","","Green","","","1.0"
"Roseanna M. White","","","A Song Unheard","","","1.0"
"Roni Loren","","","The Ones Who Got Away","","","1.0"
"Samuel Parker","","","Coldwater","","","1.0"
"Rod Duncan","Map of Unknown Things","1","The Queen of All Crows","","Map of Unknown Things","1.0"
"Robert Lukins","","","The Everlasting Sunday","","","1.0"
"Rick Jones","Vatican Knights","13","The Barbed Crown","","Vatican Knights","13.0"
"Rick Jones","Vatican Knights","12","Sinners and Saints","","Vatican Knights","12.0"
"Rita Herron","","","Safe at Hawk's Landing","","","1.0"
"Rick Jones","Vatican Knights","10","The Golgotha Pursuit","","Vatican Knights","10.0"
"Rick Jones","Vatican Knights","11","Targeted Killing","","Vatican Knights","11.0"
